dbn,X..of.SAT.Takers.in.2014,Avg.SAT.Critical.Reading.Score.in.2014,Avg.SAT.Math.Scores.in.2014,Avg.SAT.Writing.Scores.in.2014,school_name,grade_span_min,grade_span_max,zip,total_students,school_type,advancedplacement_courses,online_ap_courses,start_time,end_time
07X527,96,366,383,358,Bronx Leadership Academy II High School,9,12,10451,515,,Biology; English Literature and Composition; United States History,,8:30 AM,3:15 PM
07X547,26,338,362,332,New Explorers High School,9,12,10451,463,,English Language and Composition; Spanish Language and Culture,Biology,8:30 AM,3:30 PM
07X548,64,390,417,378,Urban Assembly School for Careers in Sports,9,12,10451,575,,Calculus AB; Calculus BC; United States Government and Politics; United States History,,8:25 AM,3:18 PM
07X551,48,402,403,391,The Urban Assembly Bronx Academy of Letters,6,12,10451,584,,English Language and Composition; English Literature and Composition; Environmental Science; Spanish Language and Culture; United States Government and Politics; United States History,,8:00 AM,3:50 PM
07X557,s,s,s,s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07X600,18,380,387,360,Alfred E. Smith Career and Technical Education High School,9,12,10451,390,CTE School,English Language and Composition; United States History,,8:50 AM,3:00 PM
07X655,36,402,399,381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07X670,74,359,363,374,Health Opportunities High School,9,12,10451,577,,Biology; European History; Spanish Language and Culture; United States History,,8:15 AM,3:35 PM
08X282,54,376,388,391,Women's Academy of Excellence,9,12,10473,395,All-Girls School,English Literature and Composition,,8:30 AM,2:45 PM
08X293,64,409,395,414,Renaissance High School for Musical Theater & Technology,9,12,10461,454,,English Literature and Composition; Psychology; Spanish Language and Culture; United States Government and Politics; World History,,8:15 AM,3:00 PM
08X295,35,369,347,355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08X305,58,369,354,349,Pablo Neruda Academy,9,12,10473,335,,Art History; English Language and Composition; English Literature and Composition; United States Government and Politics,,8:00 AM,3:50 PM
08X312,70,405,396,393,Millennium Art Academy,9,12,10473,496,,Calculus AB; English Language and Composition; English Literature and Composition,,8:00 AM,3:00 PM
08X332,41,380,364,364,Holcombe L. Rucker School of Community Research,9,12,10459,261,,English Literature and Composition; Spanish Literature and Culture,,8:15 AM,3:15 PM
08X367,43,427,412,390,Archimedes Academy for Math; Science and Technology Applications,6,12,10473,637,,,,8:25 AM,3:15 PM
08X376,34,387,402,386,Antonia Pantoja Preparatory Academy: A College Board School,6,12,10473,466,,,,8:00 AM,2:45 PM
08X405,324,414,437,400,Herbert H. Lehman High School.,9,12,10461,2059,,Biology; Calculus AB; Calculus BC; English Language and Composition; English Literature and Composition; Environmental Science; Spanish Language and Culture; Spanish Literature and Culture; United States Government and Politics; United States History; World History,,8:15 AM,3:45 PM
08X408,6,368,335,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08X452,29,370,357,363,Bronx Guild,9,12,10473,315,,,,8:30 AM,3:00 PM
08X507,s,s,s,s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08X519,25,424,407,396,Felisa Rincon de Gautier Institute for Law and Public Policy; The,9,12,10473,341,,Comparative Government and Politics; English Language and Composition; English Literature and Composition; United States History,,8:00 AM,2:19 PM
08X530,44,339,338,339,Banana Kelly High School,9,12,10459,364,,English Language and Composition; Human Geography; United States History,,8:45 AM,3:05 PM
08X537,13,389,367,376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08X540,6,438,420,422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08X650,66,375,368,369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09X227,35,391,419,405,Bronx Collegiate Academy,9,12,10457,356,,English Language and Composition; English Literature and Composition; Spanish Language and Culture; United States Government and Politics; United States History,,8:30 AM,3:30 PM
09X231,75,398,400,372,Eagle Academy for Young Men,6,12,10457,645,All-Boys School,Calculus AB; Chemistry; Computer Science AB; English Language and Composition; English Literature and Composition; United States History; World History,,8:30 AM,4:00 PM
