DBN,school_0me,male,female,male_ratio,female_ratio
16K498,ACORN HIGH SCHOOL FOR SOCIAL JUSTICE,59,58,0.504273504,0.495726496
16K594,GOTHAM PROFESSIO0L ARTS ACADEMY,20,39,0.338983051,0.661016949
16K688,THE BROOKLYN ACADEMY OF GLOBAL FI0NCE,2,1,0.666666667,0.333333333
17K382,ACAD FOR COLLEGE PREP & CAREER EXPLORATION: A COLL,50,31,0.617283951,0.382716049
17K408,ACADEMY OF HOSPITALITY AND TOURISM,35,40,0.466666667,0.533333333
17K489,W E B DUBOIS ACADEMIC HIGH SCHOOL,78,93,0.456140351,0.543859649
17K524,INTER0TIO0L HIGH SCHOOL AT PROSPECT HEIGHTS,56,55,0.504504505,0.495495495
17K528,HIGH SCHOOL FOR GLOBAL CITIZENSHIP (THE),49,69,0.415254237,0.584745763
17K531,SCHOOL FOR HUMAN RIGHTS (THE),39,36,0.52,0.48
17K533,SCHOOL FOR DEMOCRACY AND LEADERSHIP,43,41,0.511904762,0.488095238
17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT,73,48,0.603305785,0.396694215
17K539,HIGH SCHOOL FOR SERVICE AND LEARNING AT ERASMUS,64,50,0.561403509,0.438596491
17K543,"SCIENCE, TECH & RESEARCH HIGH SCHOOL AT ERASMUS",28,42,0.4,0.6
17K544,INTER0TIO0L ARTS BUSINESS SCHOOL,40,60,0.4,0.6
17K546,HS FOR PUBLIC SERVICE-HEROES OF TOMORROW,21,81,0.205882353,0.794117647
17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,62,67,0.480620155,0.519379845
17K548,BROOKLYN SCHOOL FOR MUSIC & THEATER,26,62,0.295454545,0.704545455
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,36,53,0.404494382,0.595505618
17K590,MEDGAR EVERS COLLEGE PREPERATORY SCHOOL,87,73,0.54375,0.45625
17K600,CLARA BARTON HIGH SCHOOL,118,336,0.259911894,0.740088106
17K625,PAUL ROBESON HIGH SCHOOL,158,110,0.589552239,0.410447761
18K415,SAMUEL J. TILDEN HIGH SCHOOL,1,0,1,0
